col1,col2,F606W,F814W,col5
2916.089,1482.605,24.471,23.969,1
2962.198,1370.344,27.56,26.804,1
2960.136,1400.537,26.42,25.803,1
2957.512,1482.369,29.286,28.439,1
2973.381,1391.173,25.473,24.964,1
3009.973,1240.7,27.296,26.575,1
3018.645,1270.88,28.132,27.403,1
3078.154,1294.592,28.158,27.244,1
3066.476,1415.158,24.794,24.425,1
3099.16,1395.093,29.116,27.837,1
3116.667,1345.623,25.652,24.564,1
3143.472,1326.788,27.301,26.665,1
3151.248,1388.632,27.684,26.939,1
3173.025,1480.233,26.885,26.176,1
3210.527,1388.423,24.108,23.46,1
3246.761,1274.755,25.58,25.117,1
3244.353,1302.012,28.161,27.495,1
3276.238,1353.837,27.557,26.868,1
3293.056,1427.748,24.752,24.255,1
3315.466,1335.048,25.836,25.33,1
3369.395,1425.077,24.766,24.427,1
3413.691,1246.62,25.83,25.373,1
3431.157,1287.567,27.334,26.779,1
3430.913,1392.648,27.15,26.454,1
3420.24,1463.786,24.347,23.831,1
3461.315,1336.357,28.748,27.809,1
3489.069,1305.158,27.264,26.613,1
3500.87,1377.291,27.114,26.356,1
3496.543,1417.044,25.737,25.233,1
3514.663,1470.763,26.092,25.515,1
3643.474,1252.109,27.893,27.274,1
3657.836,1433.784,29.02,28.004,1
3676.111,1342.229,27.395,26.756,1
3688.322,1311.238,26.443,25.844,1
3700.682,1424.63,25.515,25.037,1
3723.796,1282.457,28.296,27.422,1
3729.039,1426.893,26.573,25.994,1
3752.775,1430.995,26.797,26.172,1
3775.635,1426.972,26.162,24.632,1
3792.709,1284.781,27.922,27.082,1
3804.585,1413.082,27.355,26.558,1
3823.668,1351.646,26.599,26.044,1
3843.398,1270.162,28.748,27.959,1
3907.729,1270.954,27.778,26.868,1
3948.962,1430.489,22.798,22.126,1
3974.425,1436.889,25.047,24.503,1
3988.64,1355.088,28.23,27.269,1
4034.571,1434.507,26.021,25.529,1
4059.418,1290.125,25.974,25.433,1
4060.609,1423.069,26.14,25.625,1
4155.126,1306.88,27.224,26.602,1
4169.244,1287.356,24.009,23.47,1
4180.441,1446.089,22.64,22.227,1
4211.591,1315.223,28.45,27.686,1
4222.27,1389.335,26.703,26.077,1
4285.528,1361.401,27.288,26.681,1
4360.679,1295.87,27.198,26.522,1
4411.112,1265.055,27.693,26.981,1
4425.055,1287.724,25.639,25.144,1
4461.045,1284.764,27.026,26.348,1
4494.406,1368.152,25.738,25.224,1
4581.283,1257.048,25.235,24.738,1
4583.667,1331.715,26.718,26.126,1
585.813,1669.575,28.274,27.392,1
691.939,1530.868,26.976,26.292,1
914.003,1678.473,28.149,27.189,1
981.044,1496.047,27.838,27.045,1
988.178,1661.548,26.896,26.267,1
1102.392,1604.938,28.703,28.149,1
1089.494,1634.651,26.232,25.696,1
1133.814,1649.317,26.231,25.683,1
1249.032,1569.039,28.047,27.073,1
1256.092,1589.63,27.269,26.564,1
1414.498,1734.214,25.119,24.663,1
1483.704,1584.715,26.452,25.899,1
1464.81,1660.803,27.603,26.767,1
1547.962,1659.588,26.945,26.39,1
1587.52,1506.916,26.46,25.971,1
1675.696,1638.075,28.432,27.882,1
1681.762,1662.3,27.953,27.201,1
1696.505,1681.14,26.494,25.985,1
1827.052,1726.559,27.798,26.949,1
1888.896,1595.647,25.639,25.153,1
2015.581,1694.183,21.452,20.114,1
2111.392,1571.046,28.893,27.846,1
2091.842,1678.377,27.284,26.627,1
2130.367,1522.352,26.08,25.587,1
2145.192,1711.482,26.875,26.206,1
2168.815,1681.353,25.808,25.386,1
2251.874,1523.378,25.858,25.268,1
2359.382,1536.663,28.452,27.68,1
2338.897,1587.527,27.916,27.312,1
2376.801,1525.786,25.986,25.484,1
2376.009,1548.81,27.351,26.724,1
2380.065,1615.171,24.421,22.033,1
2415.279,1552.855,26.585,26.042,1
2419.916,1664.293,25.966,25.452,1
2459.22,1681.942,27.029,26.316,1
2534.732,1674.356,28.005,27.198,1
2556.053,1520.974,28.414,27.403,1
2580.162,1600.045,27.231,26.563,1
2655.59,1574.865,26.611,25.94,1
2680.717,1510.648,27.115,26.426,1
2699.76,1535.692,27.829,26.911,1
2692.409,1624.505,28.42,27.515,1
2721.236,1543.251,28.937,27.849,1
2768.625,1537.819,28.333,27.314,1
2770.927,1614.164,25.395,24.883,1
2789.233,1509.242,28.432,27.836,1
2807.368,1729.496,25.265,24.78,1
2887.93,1573.971,25.962,25.428,1
2969.685,1716.163,27.925,27.022,1
2998.297,1488.721,26.502,25.939,1
3041.928,1714.054,25.971,25.489,1
3078.209,1513.189,26.407,25.788,1
3083.152,1661.723,25.867,25.36,1
3099.555,1552.338,28.908,28.133,1
3111.011,1591.07,24.34,22.84,1
3118.111,1605.634,28.747,28.072,1
3146.972,1601.269,26.433,25.907,1
3200.552,1527.605,28.235,27.96,1
3208.262,1568.978,27.523,26.797,1
3204.939,1611.205,27.637,26.843,1
3252.215,1498.738,26.269,25.738,1
3258.311,1492.357,25.765,25.257,1
3315.557,1548.455,25.845,25.315,1
3341.604,1533.724,23.777,23.13,1
3400.561,1570.83,26.767,26.12,1
3405.01,1704.444,26.082,25.542,1
3413.366,1677.965,26.483,25.936,1
3465.161,1620.026,28.288,27.203,1
3485.338,1684.97,28.409,27.588,1
3506.32,1556.229,25.677,25.129,1
3506.441,1687.419,25.556,25.015,1
3523.674,1649.638,24.895,24.404,1
3556.627,1576.351,24.64,24.183,1
3544.997,1595.275,26.4,25.857,1
3558.499,1690.654,28.328,27.519,1
3616.788,1549.939,28.607,27.634,1
3613.776,1596.464,27.006,26.373,1
3654.847,1590.169,27.237,26.673,1
3655.159,1640.519,27.682,26.883,1
3712.797,1671.585,28.94,27.605,1
3701.938,1699.538,27.271,26.566,1
3718.115,1573.833,24.041,23.426,1
3737.63,1694.45,27.984,27.177,1
3750.089,1508.348,26.893,26.228,1
3787.737,1570.244,28.499,27.501,1
3805.98,1565.605,26.033,25.487,1
3837.365,1625.164,26.196,25.687,1
3826.758,1680.811,26.628,26.103,1
3829.944,1668.216,25.944,25.436,1
3918.379,1671.679,28.548,27.667,1
3963.18,1491.331,26.217,25.739,1
3989.301,1629.844,28.274,27.361,1
4024.87,1600.764,28.526,27.702,1
4085.325,1514.039,27.294,26.605,1
4086.174,1614.827,25.883,25.386,1
4102.944,1504.895,27.343,26.665,1
4104.639,1524.819,27.43,26.746,1
4131.363,1586.323,28.406,27.515,1
4167.145,1593.321,27.346,26.706,1
4166.961,1734.791,26.929,26.337,1
4206.696,1723.919,20.541,19.213,1
4222.782,1639.896,27.791,26.926,1
4278.506,1569.934,25.839,25.309,1
4266.547,1668.636,26.731,26.215,1
4263.42,1702.211,26.264,25.724,1
4279.806,1729.461,28.511,27.804,1
4290.241,1680.903,27.636,26.828,1
4313.776,1565.206,24.711,24.205,1
4340.988,1513.32,28.167,27.426,1
4381.062,1569.487,26.518,25.936,1
4369.891,1618.123,29.133,28.167,1
4406.385,1683.92,26.438,25.813,1
4481.863,1508.814,26.404,25.877,1
4473.274,1563.524,25.733,25.168,1
4467.641,1642.837,26.83,26.14,1
4506.96,1720.899,26.649,26.122,1
